Year,League,Champion,Runner-Up,Finals MVP,Points Leader,Rebounds Leader,Assists Leader,Win Shares Leader
2024,NBA,Boston Celtics,Dallas Mavericks,J. Brown,L. Dončić (635),L. Dončić (208),L. Dončić (178),D. White (2.9)
2023,NBA,Denver Nuggets,Miami Heat,N. Jokić,N. Jokić (600),N. Jokić (269),N. Jokić (190),N. Jokić (5.0)
2022,NBA,Golden State Warriors,Boston Celtics,S. Curry,J. Tatum (615),A. Horford (214),J. Tatum (148),J. Butler (3.8)
2021,NBA,Milwaukee Bucks,Phoenix Suns,G. Antetokounmpo,G. Antetokounmpo (634),G. Antetokounmpo (269),J. Holiday (199),G. Antetokounmpo (3.7)
2020,NBA,Los Angeles Lakers,Miami Heat,L. James,A. Davis (582),L. James (226),L. James (184),A. Davis (4.5)
2019,NBA,Toronto Raptors,Golden State Warriors,K. Leonard,K. Leonard (732),D. Green (223),D. Green (187),K. Leonard (5.0)
2018,NBA,Golden State Warriors,Cleveland Cavaliers,K. Durant,L. James (748),D. Green (222),L. James (198),L. James (5.2)
2017,NBA,Golden State Warriors,Cleveland Cavaliers,K. Durant,L. James (591),K. Love (191),L. James (141),L. James (4.3)
2016,NBA,Cleveland Cavaliers,Golden State Warriors,L. James,K. Thompson (582),D. Green (228),R. Westbrook (198),L. James (4.7)
2015,NBA,Golden State Warriors,Cleveland Cavaliers,A. Iguodala,L. James (601),D. Howard (238),L. James (169),S. Curry (3.9)
2014,NBA,San Antonio Spurs,Miami Heat,K. Leonard,K. Durant (563),T. Duncan (211),R. Westbrook (153),L. James (4.3)
2013,NBA,Miami Heat,San Antonio Spurs,L. James,L. James (596),T. Duncan (214),L. James (152),L. James (5.2)
2012,NBA,Miami Heat,Oklahoma City Thunder,L. James,L. James (697),L. James (224),R. Rondo (227),L. James (5.8)
2011,NBA,Dallas Mavericks,Miami Heat,D. Nowitzki,D. Nowitzki (582),T. Chandler (193),J. Kidd (153),L. James (3.8)
2010,NBA,Los Angeles Lakers,Boston Celtics,K. Bryant,K. Bryant (671),P. Gasol (255),R. Rondo (223),P. Gasol (4.3)
2009,NBA,Los Angeles Lakers,Orlando Magic,K. Bryant,K. Bryant (695),D. Howard (353),R. Rondo (137),L. James (4.8)
2008,NBA,Boston Celtics,Los Angeles Lakers,P. Pierce,K. Bryant (633),K. Garnett (274),R. Rondo (172),K. Garnett (4.1)
2007,NBA,San Antonio Spurs,Cleveland Cavaliers,T. Parker,L. James (501),T. Duncan (229),L. James (159),L. James (3.7)
2006,NBA,Miami Heat,Dallas Mavericks,D. Wade,D. Wade (654),D. Nowitzki (268),S. Nash (204),D. Nowitzki (5.4)
2005,NBA,San Antonio Spurs,Detroit Pistons,T. Duncan,T. Duncan (542),T. Duncan (286),S. Nash (170),C. Billups (4.6)
2004,NBA,Detroit Pistons,Los Angeles Lakers,C. Billups,K. Bryant (539),B. Wallace (328),C. Billups (136),S. O'Neal (3.9)
2003,NBA,San Antonio Spurs,New Jersey Nets,T. Duncan,T. Duncan (593),T. Duncan (369),J. Kidd (163),T. Duncan (5.9)
2002,NBA,Los Angeles Lakers,New Jersey Nets,S. O'Neal,S. O'Neal (541),S. O'Neal (239),J. Kidd (182),S. O'Neal (3.8)
2001,NBA,Los Angeles Lakers,Philadelphia 76ers,S. O'Neal,A. Iverson (723),D. Mutombo (316),A. Iverson (134),K. Bryant (3.8)
2000,NBA,Los Angeles Lakers,Indiana Pacers,S. O'Neal,S. O'Neal (707),S. O'Neal (355),M. Jackson (178),S. O'Neal (4.7)
1999,NBA,San Antonio Spurs,New York Knicks,T. Duncan,L. Sprewell (407),T. Duncan (195),A. Johnson (126),T. Duncan (3.7)
